bj,Jeep指南者,2,28.10,6.2,3.3,2.4,307,0,5664,7,14.16
bj,捷豹XF,2,66.20,6.7,3.2,2.0,39,0,11600,4,29.00
bj,奥迪A6L,2,44.50,3.7,1.7,2.0,11,0,12600,0,31.50
bj,Jeep大切诺基,1,73.40,11.6,3,3.6,15,0,14800,1,37.00
bj,奔驰C级AMG,1,108.30,6.2,4,6.2,7,2,19600,1,49.00
bj,现代索纳塔八,1,21.50,7.2,5.11,2.0,53,0,3520,5,8.80
bj,路虎神行者2,1,64.90,7.5,3.8,2.0,63,0,11200,7,28.00
bj,马自达阿特兹,1,23.40,1.6,1.11,2.5,27,0,6400,6,16.00
bj,宝马5系,1,50.90,6.8,7,2.5,111,0,6320,8,15.80
bj,宝马5系,2,54.20,5.8,3.5,2.0,43,0,12800,4,32.00
bj,福特锐界,1,36.90,4.0,1.10,2.0,97,0,11200,1,28.00
bj,英菲尼迪QX50,2,45.50,4.4,3,2.5,17,0,10000,5,25.00
bj,奥迪A3,1,28.80,4.9,1.7,1.8,79,0,6400,4,16.00
bj,丰田汉兰达,1,28.50,7.2,3.3,2.7,43,0,7400,2,18.50
bj,奔腾B70,1,13.00,5.2,2.4,2.0,23,0,3500,4,7.25
bj,大众帕萨特,2,23.80,8.1,5.9,1.8,119,0,4256,4,10.64
bj,奔驰B级,1,34.60,5.8,6.9,2.0,31,0,3992,6,9.98
bj,奥迪A6L,1,50.90,2.5,1.3,2.5,15,0,15200,2,38.00
bj,现代索纳塔八,1,20.60,3.9,5.3,2.0,19,0,4000,0,10.00
bj,路虎揽胜,2,187.60,5.5,5.6,5.0,21,1,27920,3,69.80
bj,大众CC,1,32.90,7.8,4.4,2.0,27,0,6600,2,16.50
bj,别克君威,1,20.20,2.2,5.5,2.0,139,0,3676,2,9.19
bj,Jeep自由客,1,28.60,7.8,5,2.4,15,0,5360,3,13.40
bj,马自达6,1,19.50,5.0,4.1,2.0,99,0,3500,3,7.50
bj,保时捷Panamera,2,157.50,5.1,2.11,3.0,7,2,35200,4,88.00
bj,本田思铂睿,1,27.10,7.5,5.6,2.4,27,0,4400,0,11.00
bj,别克GL8,1,35.80,2.0,1.3,2.4,9,0,10080,10,25.20
bj,起亚K2,2,9.30,1.8,1.4,1.4,33,0,3500,8,5.90
bj,奔驰E级,1,55.90,9.6,6.11,1.8,11,0,8000,4,20.00
bj,MINI,2,26.60,4.5,4.3,1.6,31,0,6000,6,15.00
bj,路虎揽胜运动版,1,123.50,13.4,3.4,3.0,17,0,30400,0,76.00
bj,大众速腾,1,17.00,0.7,0.5,1.4,13,0,5400,3,13.50
bj,丰田花冠,1,11.80,6.7,3.9,1.6,55,0,3500,1,6.30
bj,奥迪A4L,1,36.10,2.5,1.1,2.0,7,0,10200,3,25.50
bj,陆风X7,1,15.20,2.1,1.9,2.0,57,0,4080,1,10.20
bj,奔驰A级,1,27.40,5.7,3.3,1.6,55,0,6620,5,16.55
bj,奔驰R级,2,64.90,1.6,3,3.0,9,0,17520,5,43.80
bj,现代劳恩斯,1,27.10,7.4,6.8,2.0,131,0,3880,2,9.70
bj,奔驰GL级,1,173.50,3.7,3.10,4.7,21,0,40000,3,100.00
bj,大众POLO,2,10.10,6.7,7.8,1.4,19,0,3000,10,2.95
bj,日产天籁,1,24.40,7.3,6,2.5,29,0,4000,6,10.00
bj,雪佛兰科鲁兹,1,13.00,10.2,7.6,1.6,21,0,3500,3,4.22
bj,现代劳恩斯,2,24.60,6.1,7.11,2.0,13,0,3600,8,9.00
bj,奔驰B级,1,33.10,2.9,1.10,1.6,27,0,8000,2,20.00
bj,大众朗逸,2,14.90,1.5,1.4,1.6,93,0,4160,5,10.40
bj,哈弗H6,2,14.00,4.8,2.9,1.5,19,0,3500,7,7.80
bj,五菱荣光,1,4.80,1.4,3.5,1.2,11,0,3000,16,2.33
bj,奔驰唯雅诺,2,55.30,5.4,4.7,2.5,9,0,10240,2,25.60
bj,长安CS75,1,12.80,1.5,1.4,2.0,31,0,3500,1,8.47
bj,吉利自由舰,1,3.70,3.5,6.9,1.3,9,0,3000,4,1.10
bj,本田缤智,1,16.70,0.3,0.7,1.8,183,0,5696,0,14.24
bj,大众高尔夫,1,14.80,5.6,5.2,1.4,53,1,3500,5,7.00
bj,丰田花冠,1,10.90,2.4,3,1.6,7,0,3500,7,6.80
bj,大众途观,2,28.20,7.3,3.11,1.8,175,0,6200,2,15.50
bj,日产轩逸,1,18.20,10.2,7.7,2.0,15,3,3500,8,6.40
bj,福特嘉年华,1,10.70,2.6,3.6,1.5,25,1,3500,3,5.90
bj,长城M2,1,7.20,7.7,5.11,1.5,51,0,3000,10,2.40
bj,大众朗逸,1,13.60,4.1,2.5,1.6,23,0,3500,2,8.50
bj,奥迪A4L,2,33.60,4.8,4.8,2.0,141,0,7160,4,17.90
bj,奔驰GLK级,2,53.70,6.5,5.9,3.0,65,0,9000,1,22.50
bj,福特嘉年华,2,10.60,7.3,6.8,1.5,71,0,3500,4,3.70
bj,丰田汉兰达,1,41.20,14.3,6.11,3.5,11,2,6352,1,15.88
bj,Smartsmart,1,15.80,0.4,0.7,1.0,41,0,4480,7,11.20
bj,奥迪A6L,1,48.50,4.5,2.11,2.0,67,0,12000,1,30.00
bj,日产轩逸,1,11.90,5.4,4.11,1.6,19,0,3500,11,6.33
bj,别克君威,1,25.10,4.7,5.7,2.4,55,0,3960,2,9.90
bj,大众速腾,1,16.70,6.7,4.3,1.4,31,0,3500,7,8.00
bj,雪佛兰爱唯欧,1,9.50,2.0,5.6,1.4,127,0,3500,4,4.05
bj,比亚迪F0,1,4.40,3.5,6.8,1.0,13,0,3000,6,1.10
bj,大众朗逸,2,16.10,2.7,3.11,1.4,99,0,3600,6,9.00
bj,奥迪Q3,1,40.90,3.3,4.7,2.0,47,0,7800,4,19.50
bj,丰田凯美瑞,1,23.90,6.1,5.2,2.5,165,0,5280,1,13.20
bj,大众途观,1,29.50,2.4,4.5,1.8,69,0,6440,5,16.10
bj,宝马X1,1,51.30,3.7,6,3.0,175,0,7000,7,17.50
bj,福特福克斯,1,15.60,2.8,3.3,1.6,11,0,3500,3,8.48
bj,起亚K2,1,8.50,2.9,4.9,1.4,77,0,3500,3,4.10
bj,雪佛兰创酷,1,11.90,3.7,1.11,1.4,29,0,3500,1,7.30
bj,现代ix35,1,22.90,2.8,3.3,2.0,31,0,5200,4,13.00
bj,现代ix35,1,21.30,4.1,4.9,2.0,35,0,3920,6,9.80
bj,大众捷达,1,9.00,6.8,2.10,1.4,65,0,3500,6,4.90
bj,别克君越,1,27.70,11.0,5.9,2.4,7,0,4600,3,11.50
bj,大众桑塔纳,1,12.40,3.7,4.5,1.6,193,0,3500,2,6.50
bj,铃木雨燕,1,10.00,2.8,7.9,1.5,61,0,3000,4,3.00
bj,Smartsmart,1,24.40,5.4,5.1,1.0,49,1,3500,3,8.60
bj,大众速腾,1,16.90,12.2,5.8,1.4,15,0,3500,6,6.52
bj,福特福克斯,1,12.90,10.7,7.2,1.8,27,0,3500,4,3.80
bj,起亚狮跑,1,14.50,3.7,2.9,2.0,11,0,4320,2,10.80
bj,大众CC,1,30.80,2.9,3.9,2.0,205,0,7196,7,17.99
bj,奥迪A8L,1,100.70,10.2,6,3.0,23,1,16320,9,40.80
bj,雪佛兰乐风,2,8.10,5.4,8.9,1.4,125,0,3000,6,1.95
bj,现代全新胜达,1,27.10,4.1,2.8,2.4,15,0,6200,9,15.50
bj,大众迈腾,1,29.10,3.7,3.11,2.0,99,0,6400,5,16.00
bj,北汽绅宝绅宝D50,1,9.70,2.7,2.2,1.5,75,0,3500,9,5.20
bj,长城M4,1,6.90,7.5,4.7,1.5,7,0,3500,3,3.85
bj,日产阳光,1,9.00,7.3,5.11,1.5,9,0,3500,3,4.00
bj,大众捷达,1,8.20,6.9,5.8,1.6,17,0,3500,10,3.39
bj,标致307,1,12.50,3.9,4,1.6,23,0,3500,7,5.50
bj,奇瑞E5,2,7.00,9.3,4.3,1.5,55,0,3000,2,2.60
bj,奥迪A4L,1,33.60,2.3,3.4,2.0,65,1,8200,3,20.50
bj,别克君威,1,22.10,10.0,5.1,2.0,29,0,3760,2,9.40
bj,Jeep大切诺基,1,67.30,9.1,4.5,3.6,11,1,14000,10,35.00
bj,丰田雅力士,1,10.30,2.5,5.4,1.6,17,0,3500,11,5.00
bj,长安奔奔mini,2,5.00,4.6,5.8,1.0,9,0,3000,5,2.00
